date,climate_only_comments,covid_only_comments,co_mention_comments,co_mention_share_among_climate_comments,climate_only_comments_ma7,co_mention_share_among_climate_comments_ma7
2020-09-15,4721,32317,389,0.0761252446183953,3039.5714285714284,0.0761384277535748
2020-09-16,3424,34269,344,0.09129511677282377,3232.1428571428573,0.07991417802614034
2020-09-17,2654,34389,281,0.09574105621805792,3172.714285714286,0.0816121052711722
2020-09-18,2649,32085,254,0.08749569410954185,3168.0,0.08364648866306745
2020-09-19,2065,25340,221,0.09667541557305337,3066.5714285714284,0.08604195348725886
2020-09-20,1704,25318,176,0.09361702127659574,2918.5714285714284,0.08884274361700571
2020-09-21,2087,29733,188,0.08263736263736264,2757.714285714286,0.08908384445797579
2020-09-22,1932,32634,237,0.10926694329183956,2359.285714285714,0.0938183728398964
2020-09-23,2221,32792,213,0.08751027115858669,2187.4285714285716,0.0932776806092911
2020-09-24,2440,30118,215,0.08097928436911488,2156.8571428571427,0.0911688560594421
2020-09-25,1774,29243,194,0.09857723577235772,2031.857142857143,0.09275193343984436
2020-09-26,1655,24855,154,0.08512990602542841,1973.2857142857142,0.09110257493304079
2020-09-27,1647,25959,208,0.11212938005390835,1965.142857142857,0.09374719761551402
2020-09-28,2195,27776,253,0.10334967320261437,1980.5714285714287,0.09670609912483571
2020-09-29,2116,32334,221,0.09456568249893026,2006.857142857143,0.09460591901156294
2020-09-30,3341,31095,332,0.09038932752518378,2166.8571428571427,0.09501721277821969
2020-10-01,2115,30788,199,0.08599827139152982,2120.4285714285716,0.09573421092427896
2020-10-02,1677,54263,188,0.10080428954423593,2106.5714285714284,0.0960523614631187
2020-10-03,1205,37457,142,0.10541945063103192,2042.2857142857142,0.09895086783534777
2020-10-04,1449,34703,157,0.09775840597758406,2014.0,0.09689787153873002
2020-10-05,1608,42358,167,0.09408450704225352,1930.142857142857,0.09557427637296419
2020-10-06,1592,46092,200,0.11160714285714286,1855.2857142857142,0.0980087707098517
2020-10-07,1671,40252,204,0.1088,1616.7142857142858,0.10063886677768259
2020-10-08,2562,39984,278,0.09788732394366197,1680.5714285714287,0.1023373028565586
2020-10-09,1662,34534,163,0.08931506849315068,1678.4285714285713,0.10069598556354643
2020-10-10,1655,28479,171,0.09364731653888281,1742.7142857142858,0.09901425212181084
2020-10-11,1599,28967,165,0.0935374149659864,1764.142857142857,0.09841125340586832
2020-10-12,1580,32645,189,0.10684002261164499,1760.142857142857,0.10023346991578139
2020-10-13,1778,33628,200,0.10111223458038422,1786.7142857142858,0.09873419730481588
2020-10-14,2358,33449,181,0.07128790862544308,1884.857142857143,0.0933753271084506
2020-10-15,2011,34749,205,0.09250902527075812,1806.142857142857,0.09260699872660719
2020-10-16,1911,31761,194,0.09216152019002376,1841.7142857142858,0.09301363468330334
2020-10-17,1436,25867,166,0.10362047440699126,1810.4285714285713,0.09443837152160454
