date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death,climate_ma7,deaths_ma7
2020-09-06,1417,26498,149,28064,9.514687100893996,904,1471.4285714285713,815.0
2020-09-07,1896,27555,153,29604,7.46705710102489,801,1552.857142857143,809.5714285714286
2020-09-08,2127,31620,201,33948,8.6340206185567,685,1634.142857142857,805.0
2020-09-09,2076,34055,144,36275,6.486486486486487,417,1691.142857142857,785.5714285714286
2020-09-10,3070,36133,281,39484,8.385556550283498,553,1894.4285714285713,741.7142857142857
2020-09-11,2682,34351,212,37245,7.325501036627505,826,2077.5714285714284,733.4285714285714
2020-09-12,2775,28549,241,31565,7.990716180371353,832,2291.8571428571427,716.8571428571429
2020-09-13,2740,27898,219,30857,7.401149036836769,863,2480.8571428571427,711.0
2020-09-14,3213,32845,283,36341,8.094965675057209,662,2669.0,691.1428571428571
2020-09-15,4721,32317,389,37427,7.61252446183953,720,3039.5714285714284,696.1428571428571
2020-09-16,3424,34269,344,38037,9.129511677282377,359,3232.1428571428573,687.8571428571429
2020-09-17,2654,34389,281,37324,9.574105621805792,801,3172.714285714286,723.2857142857143
2020-09-18,2649,32085,254,34988,8.749569410954185,1099,3168.0,762.2857142857143
2020-09-19,2065,25340,221,27626,9.667541557305338,732,3066.5714285714284,748.0
2020-09-20,1704,25318,176,27198,9.361702127659576,803,2918.5714285714284,739.4285714285714
2020-09-21,2087,29733,188,32008,8.263736263736265,674,2757.714285714286,741.1428571428571
2020-09-22,1932,32634,237,34803,10.926694329183956,484,2359.285714285714,707.4285714285714
2020-09-23,2221,32792,213,35226,8.751027115858669,537,2187.4285714285716,732.8571428571429
2020-09-24,2440,30118,215,32773,8.097928436911488,660,2156.8571428571427,712.7142857142857
2020-09-25,1774,29243,194,31211,9.857723577235772,903,2031.857142857143,684.7142857142857
2020-09-26,1655,24855,154,26664,8.51299060254284,740,1973.2857142857142,685.8571428571429
2020-09-27,1647,25959,208,27814,11.212938005390836,778,1965.142857142857,682.2857142857143
2020-09-28,2195,27776,253,30224,10.334967320261438,664,1980.5714285714287,680.8571428571429
2020-09-29,2116,32334,221,34671,9.456568249893026,502,2006.857142857143,683.4285714285714
2020-09-30,3341,31095,332,34768,9.038932752518376,400,2166.8571428571427,663.8571428571429
2020-10-01,2115,30788,199,33102,8.599827139152982,795,2120.4285714285716,683.1428571428571
2020-10-02,1677,54263,188,56128,10.080428954423592,686,2106.5714285714284,652.1428571428571
2020-10-03,1205,37457,142,38804,10.541945063103192,733,2042.2857142857142,651.1428571428571
