date,climate_only_comments,covid_only_comments,co_mention_comments,total_comments,co_mention_share_pct,US_daily_covid_death
2020-08-20,1830,34996,205,37031,10.073710073710075,928
2020-08-21,1641,32922,205,34768,11.105092091007585,1264
2020-08-22,1362,28486,147,29995,9.74155069582505,1000
2020-08-23,1512,28746,149,30407,8.97049969897652,1007
2020-08-24,1735,34444,194,36373,10.057024364955936,1006
2020-08-25,1625,33765,188,35578,10.369553226696084,836
2020-08-26,1804,33974,161,35939,8.193384223918574,584
2020-08-27,1866,32496,205,34567,9.898599710284886,880
2020-08-28,1482,32453,170,34105,10.290556900726394,1062
2020-08-29,1312,27217,130,28659,9.015256588072122,940
2020-08-30,1264,28737,169,30170,11.79344033496162,1035
2020-08-31,1326,34806,161,36293,10.827168796234028,839
2020-09-01,1558,33510,183,35251,10.511200459506032,717
2020-09-02,1677,38116,173,39966,9.35135135135135,553
2020-09-03,1647,35365,169,37181,9.306167400881057,860
2020-09-04,1400,31346,162,32908,10.371318822023047,884
2020-09-05,1275,25322,145,26742,10.211267605633804,948
2020-09-06,1417,26498,149,28064,9.514687100893997,904
2020-09-07,1896,27555,153,29604,7.46705710102489,801
2020-09-08,2127,31620,201,33948,8.6340206185567,685
2020-09-09,2076,34055,144,36275,6.486486486486487,417
2020-09-10,3070,36133,281,39484,8.385556550283498,553
2020-09-11,2682,34351,212,37245,7.325501036627505,826
2020-09-12,2775,28549,241,31565,7.990716180371353,832
2020-09-13,2740,27898,219,30857,7.401149036836769,863
2020-09-14,3213,32845,283,36341,8.094965675057209,662
2020-09-15,4721,32317,389,37427,7.61252446183953,720
2020-09-16,3424,34269,344,38037,9.129511677282377,359
2020-09-17,2654,34389,281,37324,9.574105621805792,801
2020-09-18,2649,32085,254,34988,8.749569410954185,1099
2020-09-19,2065,25340,221,27626,9.667541557305338,732
2020-09-20,1704,25318,176,27198,9.361702127659575,803
2020-09-21,2087,29733,188,32008,8.263736263736265,674
2020-09-22,1932,32634,237,34803,10.926694329183956,484
2020-09-23,2221,32792,213,35226,8.751027115858669,537
2020-09-24,2440,30118,215,32773,8.097928436911488,660
2020-09-25,1774,29243,194,31211,9.857723577235772,903
2020-09-26,1655,24855,154,26664,8.51299060254284,740
2020-09-27,1647,25959,208,27814,11.212938005390836,778
2020-09-28,2195,27776,253,30224,10.334967320261438,664
2020-09-29,2116,32334,221,34671,9.456568249893026,502
2020-09-30,3341,31095,332,34768,9.038932752518377,400
2020-10-01,2115,30788,199,33102,8.599827139152982,795
2020-10-02,1677,54263,188,56128,10.080428954423592,686
2020-10-03,1205,37457,142,38804,10.541945063103192,733
2020-10-04,1449,34703,157,36309,9.775840597758407,907
2020-10-05,1608,42358,167,44133,9.408450704225352,565
2020-10-06,1592,46092,200,47884,11.160714285714286,598
2020-10-07,1671,40252,204,42127,10.879999999999999,508
2020-10-08,2562,39984,278,42824,9.788732394366196,635
2020-10-09,1662,34534,163,36359,8.931506849315069,782
2020-10-10,1655,28479,171,30305,9.364731653888281,735
2020-10-11,1599,28967,165,30731,9.35374149659864,792
2020-10-12,1580,32645,189,34414,10.6840022611645,681
2020-10-13,1778,33628,200,35606,10.111223458038422,573
2020-10-14,2358,33449,181,35988,7.128790862544308,497
2020-10-15,2011,34749,205,36965,9.250902527075812,652
2020-10-16,1911,31761,194,33866,9.216152019002376,821
2020-10-17,1436,25867,166,27469,10.362047440699126,697
2020-10-18,1525,29062,144,30731,8.627920910724985,880
2020-10-19,1746,33130,209,35085,10.690537084398976,693
2020-10-20,1788,36026,241,38055,11.877772301626417,733
2020-10-21,1722,34182,201,36105,10.452418096723868,612
2020-10-22,1974,33346,235,35555,10.638297872340425,791
2020-10-23,2424,32963,266,35653,9.888475836431226,1059
2020-10-24,1601,30077,181,31859,10.15712682379349,916
2020-10-25,1779,31493,212,33484,10.647915620291311,919
2020-10-26,2268,38918,280,41466,10.989010989010989,836
2020-10-27,2453,38072,261,40786,9.616801768607223,601
2020-10-28,2296,41192,258,43746,10.101801096319498,682
2020-10-29,2326,39324,342,41992,12.818590704647676,896
2020-10-30,2408,35380,234,38022,8.856926570779713,1063
2020-10-31,1735,32834,219,34788,11.20777891504606,1110
