date,family,measure,group,group_key,score_percent,n_comments
2020-10-19,NRC,Sadness,Climate-only,climate,1.643816181211427,1746
2020-10-20,NRC,Sadness,Climate-only,climate,1.740635274451927,1788
2020-10-21,NRC,Sadness,Climate-only,climate,1.642803095959379,1722
2020-10-22,NRC,Sadness,Climate-only,climate,1.7016582605115678,1974
2020-10-23,NRC,Sadness,Climate-only,climate,1.6197248704530205,2424
2020-10-24,NRC,Sadness,Climate-only,climate,1.7157614441070417,1601
2020-10-25,NRC,Sadness,Climate-only,climate,1.64919019958317,1779
2020-10-26,NRC,Sadness,Climate-only,climate,1.6545908240032934,2268
2020-10-27,NRC,Sadness,Climate-only,climate,1.6918062993383045,2453
2020-10-28,NRC,Sadness,Climate-only,climate,1.5732888905496123,2296
2020-10-29,NRC,Sadness,Climate-only,climate,1.7442634233389385,2326
2020-10-30,NRC,Sadness,Climate-only,climate,1.44083953462208,2408
2020-10-31,NRC,Sadness,Climate-only,climate,1.615665331038458,1735
2020-11-01,NRC,Sadness,Climate-only,climate,1.654144268092943,1444
2020-11-02,NRC,Sadness,Climate-only,climate,1.7928456304529463,1847
2020-11-03,NRC,Sadness,Climate-only,climate,1.686965439181216,2083
2020-11-04,NRC,Sadness,Climate-only,climate,1.91181939723906,2573
2020-11-05,NRC,Sadness,Climate-only,climate,1.6889832505150484,2276
2020-11-06,NRC,Sadness,Climate-only,climate,1.7073757275230268,1825
2020-11-07,NRC,Sadness,Climate-only,climate,1.6908609573598383,1939
2020-11-08,NRC,Sadness,Climate-only,climate,1.6015486983709897,2226
2020-11-09,NRC,Sadness,Climate-only,climate,1.5339449689270657,2039
2020-11-10,NRC,Sadness,Climate-only,climate,1.6325572044052632,1767
2020-11-11,NRC,Sadness,Climate-only,climate,1.6232457883721112,1639
2020-11-12,NRC,Sadness,Climate-only,climate,1.5072131566467306,1752
2020-11-13,NRC,Sadness,Climate-only,climate,1.7047020928666987,1910
2020-11-14,NRC,Sadness,Climate-only,climate,1.697637837913106,1497
2020-11-15,NRC,Sadness,Climate-only,climate,1.701941938307129,1735
2020-11-16,NRC,Sadness,Climate-only,climate,1.6089338241236415,1791
2020-11-17,NRC,Sadness,Climate-only,climate,1.7141768273112314,2084
2020-11-18,NRC,Sadness,Climate-only,climate,1.674394969593248,2207
2020-11-19,NRC,Sadness,Climate-only,climate,1.6517707786725304,1886
2020-11-20,NRC,Sadness,Climate-only,climate,1.777033655389185,1501
2020-11-21,NRC,Sadness,Climate-only,climate,1.735466736275766,1588
2020-11-22,NRC,Sadness,Climate-only,climate,1.5522458399940515,1432
2020-11-23,NRC,Sadness,Climate-only,climate,1.5531507120223411,1823
2020-11-24,NRC,Sadness,Climate-only,climate,1.6646292230112636,1621
2020-11-25,NRC,Sadness,Climate-only,climate,1.6660182181972063,1449
2020-11-26,NRC,Sadness,Climate-only,climate,1.6795503685906403,1244
2020-11-27,NRC,Sadness,Climate-only,climate,1.7477777316289,1691
2020-11-28,NRC,Sadness,Climate-only,climate,1.7065289796472662,1339
2020-11-29,NRC,Sadness,Climate-only,climate,1.6422507784869738,1123
2020-11-30,NRC,Sadness,Climate-only,climate,1.64949688966957,1504
2020-12-01,NRC,Sadness,Climate-only,climate,1.5407837191785347,1532
2020-12-02,NRC,Sadness,Climate-only,climate,1.6531641957100789,1473
2020-12-03,NRC,Sadness,Climate-only,climate,1.6191175664331556,1594
2020-12-04,NRC,Sadness,Climate-only,climate,1.596749953681361,1598
2020-12-05,NRC,Sadness,Climate-only,climate,1.5917810690596974,1298
2020-12-06,NRC,Sadness,Climate-only,climate,1.6763992697283068,1233
2020-12-07,NRC,Sadness,Climate-only,climate,1.7287484029446665,1499
2020-12-08,NRC,Sadness,Climate-only,climate,1.6559994654574766,1521
2020-12-09,NRC,Sadness,Climate-only,climate,1.6901198666937505,1384
2020-12-10,NRC,Sadness,Climate-only,climate,1.622500330989939,1276
2020-12-11,NRC,Sadness,Climate-only,climate,1.6042596466159644,1365
2020-12-12,NRC,Sadness,Climate-only,climate,1.6448429636800668,1374
2020-12-13,NRC,Sadness,Climate-only,climate,1.590470379436339,1536
2020-12-14,NRC,Sadness,Climate-only,climate,1.6869059586660444,1413
2020-12-15,NRC,Sadness,Climate-only,climate,1.5777553022603297,1506
2020-12-16,NRC,Sadness,Climate-only,climate,1.6489716895330824,1494
2020-12-17,NRC,Sadness,Climate-only,climate,1.6169755164938917,1539
2020-12-18,NRC,Sadness,Climate-only,climate,1.696522587798067,1667
2020-12-19,NRC,Sadness,Climate-only,climate,1.6132896220892463,1240
2020-12-20,NRC,Sadness,Climate-only,climate,1.6908107443860323,1111
2020-12-21,NRC,Sadness,Climate-only,climate,1.666716130717225,1226
2020-12-22,NRC,Sadness,Climate-only,climate,1.5542122045587274,1271
2020-12-23,NRC,Sadness,Climate-only,climate,1.6898707871131045,1156
2020-12-24,NRC,Sadness,Climate-only,climate,1.5828016471547712,1001
2020-12-25,NRC,Sadness,Climate-only,climate,1.531118835259053,904
2020-12-26,NRC,Sadness,Climate-only,climate,1.595453527799668,1008
2020-12-27,NRC,Sadness,Climate-only,climate,1.644883279322841,1304
2020-12-28,NRC,Sadness,Climate-only,climate,1.6038480477292425,1573
2020-12-29,NRC,Sadness,Climate-only,climate,1.657273187948351,1237
2020-12-30,NRC,Sadness,Climate-only,climate,1.6700884281473751,1156
2020-12-31,NRC,Sadness,Climate-only,climate,1.6204101603876124,1234
2021-01-01,NRC,Sadness,Climate-only,climate,1.6290877869916354,953
2021-01-02,NRC,Sadness,Climate-only,climate,1.7225612532394414,1140
2021-01-03,NRC,Sadness,Climate-only,climate,1.5161349220334384,1290
2021-01-04,NRC,Sadness,Climate-only,climate,1.6808518872094989,1378
2021-01-05,NRC,Sadness,Climate-only,climate,1.6453061230684662,1361
2021-01-06,NRC,Sadness,Climate-only,climate,1.6946949394171116,1538
2021-01-07,NRC,Sadness,Climate-only,climate,1.7035856643121992,1250
2021-01-08,NRC,Sadness,Climate-only,climate,1.6590228904505366,1280
2021-01-09,NRC,Sadness,Climate-only,climate,1.5382028621807586,1335
2021-01-10,NRC,Sadness,Climate-only,climate,1.6353901302675855,1503
2021-01-11,NRC,Sadness,Climate-only,climate,1.6625430607588338,1240
2021-01-12,NRC,Sadness,Climate-only,climate,1.6575482570423132,1623
2021-01-13,NRC,Sadness,Climate-only,climate,1.6514970166238094,1582
2021-01-14,NRC,Sadness,Climate-only,climate,1.597987236185592,1489
2021-01-15,NRC,Sadness,Climate-only,climate,1.684605207143384,1498
2021-01-16,NRC,Sadness,Climate-only,climate,1.6085182687626614,1343
2021-01-17,NRC,Sadness,Climate-only,climate,1.6202667205919088,1486
2021-01-18,NRC,Sadness,Climate-only,climate,1.5725172265783862,1583
2021-01-19,NRC,Sadness,Climate-only,climate,1.609247201434506,1609
2021-01-20,NRC,Sadness,Climate-only,climate,1.5793338297373012,1764
2021-01-21,NRC,Sadness,Climate-only,climate,1.5045827817467528,2549
2021-01-22,NRC,Sadness,Climate-only,climate,1.5952748473767406,2011
2021-01-23,NRC,Sadness,Climate-only,climate,1.5251486457642938,1361
2021-01-24,NRC,Sadness,Climate-only,climate,1.6355638224774278,1477
2021-01-25,NRC,Sadness,Climate-only,climate,1.576635500714247,1509
2021-01-26,NRC,Sadness,Climate-only,climate,1.678448154006262,1820
2021-01-27,NRC,Sadness,Climate-only,climate,1.5902583690548149,1644
2021-01-28,NRC,Sadness,Climate-only,climate,1.5745589789046175,1717
2021-01-29,NRC,Sadness,Climate-only,climate,1.5896150781276126,1294
2021-01-30,NRC,Sadness,Climate-only,climate,1.586529033638418,1119
2021-01-31,NRC,Sadness,Climate-only,climate,1.5165444342174643,1158
2021-02-01,NRC,Sadness,Climate-only,climate,1.492123743344418,1236
2021-02-02,NRC,Sadness,Climate-only,climate,1.4638069180593054,1441
